704,PARC PARQUE,PR,"Parc Parque, PR"
704,PASEO COSTA DEL SUR,PR,"Paseo Costa Del Sur, PR"
704,SECT LANAUSSE,PR,"Sect Lanausse, PR"
704,URB EUGENE RICE,PR,"Urb Eugene Rice, PR"
704,URB GONZALEZ,PR,"Urb Gonzalez, PR"
704,URB LA FABRICA,PR,"Urb La Fabrica, PR"
704,URB MONTE SORIA 2,PR,"Urb Monte Soria 2, PR"
704,VILLAS DEL COQUI,PR,"Villas Del Coqui, PR"
705,AIBONITO,PR,"Aibonito, PR"
705,BDA SAN LUIS,PR,"Bda San Luis, PR"
705,BO LLANOS,PR,"Bo Llanos, PR"
705,BRISAS DE AIBONITO,PR,"Brisas De Aibonito, PR"
705,COLINAS DE SAN FRANCISCO,PR,"Colinas De San Francisco, PR"
705,EST DEL LLANO,PR,"Est Del Llano, PR"
705,EXT BELLA VISTA,PR,"Ext Bella Vista, PR"
705,EXT SAN LUIS,PR,"Ext San Luis, PR"
705,EXT VILLA ROSALES,PR,"Ext Villa Rosales, PR"
705,REPTO ROBLES,PR,"Repto Robles, PR"
705,URB BELLA VISTA,PR,"Urb Bella Vista, PR"
705,URB BUENA VISTA,PR,"Urb Buena Vista, PR"
705,URB GOLDEN VLG IV,PR,"Urb Golden Vlg Iv, PR"
705,URB LA PROVIDENCIA,PR,"Urb La Providencia, PR"
705,VILLA DE LA ROSA,PR,"Villa De La Rosa, PR"
705,VILLA ROSALES,PR,"Villa Rosales, PR"
705,VILLAS DEL COQUI,PR,"Villas Del Coqui, PR"
610,ANASCO,PR,"Anasco, PR"
610,BRISAS DE ANASCO,PR,"Brisas De Anasco, PR"
610,EST DE VALLE VERDE,PR,"Est De Valle Verde, PR"
610,JARD DE ANASCO,PR,"Jard De Anasco, PR"
610,PASEO DEL VALLE,PR,"Paseo Del Valle, PR"
610,REPTO DAGUEY,PR,"Repto Daguey, PR"
610,URB SAN ANTONIO,PR,"Urb San Antonio, PR"
611,ANGELES,PR,"Angeles, PR"
612,ARECIBO,PR,"Arecibo, PR"
612,ALT DE JUNCOS,PR,"Alt De Juncos, PR"
612,ALT DE SAN FELIPE,PR,"Alt De San Felipe, PR"
612,BDA DUHAMEL,PR,"Bda Duhamel, PR"
612,BO EL PASAJE,PR,"Bo El Pasaje, PR"
612,BO ISLOTE,PR,"Bo Islote, PR"
612,BO ISLOTE II,PR,"Bo Islote Ii, PR"
612,BO JAREALITOS,PR,"Bo Jarealitos, PR"
612,BO OBRERO,PR,"Bo Obrero, PR"
612,BO SANTANA,PR,"Bo Santana, PR"
612,COMUNIDAD BUENOS AIRES,PR,"Comunidad Buenos Aires, PR"
612,EST DE ARECIBO,PR,"Est De Arecibo, PR"
612,EST DE BALSEIRO,PR,"Est De Balseiro, PR"
612,EXT MARISOL,PR,"Ext Marisol, PR"
612,EXT TANAMA,PR,"Ext Tanama, PR"
612,EXT VILLA LOS SANTOS I,PR,"Ext Villa Los Santos I, PR"
612,EXT VILLA LOS SANTOS II,PR,"Ext Villa Los Santos Ii, PR"
612,HACIENDA TOLEDO,PR,"Hacienda Toledo, PR"
612,JARD DE ARECIBO,PR,"Jard De Arecibo, PR"
612,JARD DE SAN RAFAEL,PR,"Jard De San Rafael, PR"
612,PARC MATTEY,PR,"Parc Mattey, PR"
612,PARC NAVAS,PR,"Parc Navas, PR"
612,PARC PEREZ,PR,"Parc Perez, PR"
601,ADJUNTAS,PR,"Adjuntas, PR"
601,COLINAS DEL GIGANTE,PR,"Colinas Del Gigante, PR"
601,JARD DE ADJUNTAS,PR,"Jard De Adjuntas, PR"
601,URB SAN JOAQUIN,PR,"Urb San Joaquin, PR"
631,CASTANER,PR,"Castaner, PR"
631,ADJUNTAS,PR,"Adjuntas, PR"
602,AGUADA,PR,"Aguada, PR"
602,ALTS DE AGUADA,PR,"Alts De Aguada, PR"
602,BO GUANIQUILLA,PR,"Bo Guaniquilla, PR"
602,COMUNIDAD LAS FLORES,PR,"Comunidad Las Flores, PR"
602,EXT LOS ROBLES,PR,"Ext Los Robles, PR"
602,URB ISABEL LA CATOLICA,PR,"Urb Isabel La Catolica, PR"
603,AGUADILLA,PR,"Aguadilla, PR"
603,RAMEY,PR,"Ramey, PR"
603,BDA CABAN,PR,"Bda Caban, PR"
603,BDA ESTEVES,PR,"Bda Esteves, PR"
603,BO BORINQUEN,PR,"Bo Borinquen, PR"
603,BO CEIBA BAJA,PR,"Bo Ceiba Baja, PR"
